participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,1,0.049074102,0.001851859,1,0,0,2.8914,rock_grid_rect_2,8,16,-1,-1,2.891,-0.175000014,-0.229629658,1,0,0,5.6226,Basalt_rect,2,5.623,0,0,0,0,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,2,0.012037065,-0.012962977,1,0,0,1.182,rock_grid_rect_2,6,11,-1,-1,1.182,0.368518547,-0.268518519,1,0,0,1.628,Gabbro_rect,4,1.628,0,1,0,1,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,3,0.055555556,0.01944443,1,0,0,1.1825,rock_grid_rect_2,4,11,-1,-1,1.183,0.358333305,-0.24537037,1,0,0,3.8458,Gabbro_rect,4,3.846,1,2,0,2,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,4,0.042592578,0.01666666,1,0,0,0.8818,rock_grid_rect_2,5,05,-1,-1,0.882,-0.088888875,-0.267592607,1,0,0,1.7952,Basalt_rect,2,1.795,0,3,0,3,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,5,0.026851866,0.013888889,1,0,0,1.049,rock_grid_rect_2,2,16,-1,-1,1.049,0.359259288,-0.415740755,1,0,0,2.212,Pumice_rect,8,2.212,0,4,0,4,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,6,0.00462963,-0.009259259,1,0,0,1.3992,rock_grid_rect_2,3,14,-1,-1,1.399,-0.237962935,-0.401851866,1,0,0,2.362,Pegmatite_rect,6,2.362,0,5,0,5,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,7,0.042592578,-0.001851859,1,0,0,0.6819,rock_grid_rect_2,7,13,-1,-1,0.682,-0.427777785,-0.248148176,1,0,0,2.1287,Andesite_rect,1,2.129,0,6,0,6,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,8,0.027777778,0.001851859,1,0,0,1.116,rock_grid_rect_2,1,10,-1,-1,1.116,-0.167592578,-0.396296325,1,0,0,2.8962,Pegmatite_rect,6,2.896,0,7,0,7,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,9,0.061111097,-0.01203703,1,0,0,0.6318,rock_grid_rect_2,5,04,-1,-1,0.632,-0.328703704,-0.380555541,1,0,0,2.9798,Obsidian_rect,5,2.98,1,8,0,8,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,10,0.067592621,0.01203703,1,0,0,0.8818,rock_grid_rect_2,4,13,-1,-1,0.882,0.137037065,-0.39444443,1,0,0,4.4629,Peridotite_rect,7,4.463,0,9,0,9,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,11,0.042592578,-0.015740748,1,0,0,1.0154,rock_grid_rect_2,1,03,-1,-1,1.015,-0.22592594,-0.271296325,1,0,0,1.4121,Basalt_rect,2,1.412,0,10,0,10,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,12,0.005555541,0,1,0,0,0.9331,rock_grid_rect_2,6,16,-1,-1,0.933,0.128703718,-0.248148176,1,0,0,1.263,Diorite_rect,3,1.263,0,11,0,11,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,13,0.031481496,0.005555541,1,0,0,0.7323,rock_grid_rect_2,2,09,-1,-1,0.732,0.202777792,-0.412037037,1,0,0,4.5125,Peridotite_rect,7,4.513,0,12,0,12,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,14,0.044444473,0.011111118,1,0,0,0.7642,rock_grid_rect_2,8,04,-1,-1,0.764,0.349074046,-0.392592607,1,0,0,2.0291,Pumice_rect,8,2.029,1,13,0,13,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,15,-0.001851824,0,1,0,0,0.7319,rock_grid_rect_2,7,07,-1,-1,0.732,0.125925912,-0.247222265,1,0,0,2.0455,Diorite_rect,3,2.045,0,14,0,14,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,16,0.084259245,-0.0074074,1,0,0,0.8491,rock_grid_rect_2,3,11,-1,-1,0.849,0.10555557,-0.409259302,1,0,0,2.7789,Peridotite_rect,7,2.779,0,15,0,15,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,1,,,,,,,,1,06,,,,,,,,,,,3,6.58,0,,,,,,0.114814829,-0.240740741,1,0,0,6.5796,Diorite_rect,0,0,0,0,1,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,2,,,,,,,,5,12,,,,,,,,,,,5,1.578,1,,,,,,-0.39444443,-0.387962977,1,0,0,1.5777,Obsidian_rect,1,0,1,0,1,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,3,,,,,,,,4,08,,,,,,,,,,,2,3.096,0,,,,,,-0.075925898,-0.270370413,1,0,0,3.0958,Basalt_rect,2,0,2,0,1,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,4,,,,,,,,5,07,,,,,,,,,,,2,4.513,0,,,,,,-0.162962949,-0.253703718,1,0,0,4.5133,Basalt_rect,3,0,3,0,1,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,5,,,,,,,,2,02,,,,,,,,,,,3,3.979,0,,,,,,0.152777778,-0.255555541,1,0,0,3.9794,Diorite_rect,4,0,4,0,1,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,6,,,,,,,,3,06,,,,,,,,,,,7,2.079,0,,,,,,0.059259273,-0.400000042,1,0,0,2.0787,Peridotite_rect,5,0,5,0,1,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,7,,,,,,,,2,01,,,,,,,,,,,2,2.345,1,,,,,,-0.160185143,-0.247222265,1,0,0,2.345,Basalt_rect,6,0,6,0,1,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,8,,,,,,,,3,15,,,,,,,,,,,7,1.478,0,,,,,,0.127777806,-0.388888889,1,0,0,1.4781,Peridotite_rect,7,0,7,0,1,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,9,,,,,,,,8,08,,,,,,,,,,,8,2.395,1,,,,,,0.404629601,-0.40370369,1,0,0,2.3949,Pumice_rect,8,0,8,0,1,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,10,,,,,,,,7,02,,,,,,,,,,,4,2.345,0,,,,,,0.353703675,-0.236111111,1,0,0,2.3448,Gabbro_rect,9,0,9,0,1,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,11,,,,,,,,6,08,,,,,,,,,,,2,3.796,0,,,,,,-0.162037037,-0.239814829,1,0,0,3.7957,Basalt_rect,10,0,10,0,1,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,12,,,,,,,,8,15,,,,,,,,,,,8,1.278,1,,,,,,0.330555527,-0.405555584,1,0,0,1.278,Pumice_rect,11,0,11,0,1,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,13,,,,,,,,7,14,,,,,,,,,,,1,1.078,0,,,,,,-0.361111111,-0.247222265,1,0,0,1.0784,Andesite_rect,12,0,12,0,1,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,14,,,,,,,,1,05,,,,,,,,,,,7,1.128,0,,,,,,0.121296282,-0.381481524,1,0,0,1.1284,Peridotite_rect,13,0,13,0,1,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,15,,,,,,,,6,15,,,,,,,,,,,2,4.263,0,,,,,,-0.16851849,-0.263888889,1,0,0,4.2628,Basalt_rect,14,0,14,0,1,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,16,,,,,,,,4,16,,,,,,,,,,,4,2.062,1,,,,,,0.42777775,-0.247222265,1,0,0,2.0621,Gabbro_rect,15,0,15,0,1,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,2,1,1,0.026851866,0.01203703,1,0,0,1.2995,rock_grid_rect_2,3,09,-1,-1,1.3,0.126851894,-0.228703746,1,0,0,1.088,Diorite_rect,3,1.088,1,0,0,0,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,2,1,2,0.045370384,0.006481489,1,0,0,1.1252,rock_grid_rect_2,3,13,-1,-1,1.125,0.099074116,-0.266666695,1,0,0,0.9514,Diorite_rect,3,0.951,1,1,0,1,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,2,1,3,0.040740755,0.006481489,1,0,0,0.8987,rock_grid_rect_2,6,16,-1,-1,0.899,-0.151851866,-0.243518547,1,0,0,1.7121,Basalt_rect,2,1.712,0,2,0,2,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,2,1,4,0.074074074,-0.006481489,1,0,0,1.0326,rock_grid_rect_2,3,13,-1,-1,1.033,0.086111139,-0.24537037,1,0,0,0.978,Diorite_rect,3,0.978,1,3,0,3,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,2,1,5,0.021296325,0.01203703,1,0,0,0.9829,rock_grid_rect_2,6,11,-1,-1,0.983,0.098148134,-0.414814843,1,0,0,1.1128,Peridotite_rect,7,1.113,0,4,0,4,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,2,1,6,0.021296325,-0.001851859,1,0,0,0.7488,rock_grid_rect_2,1,14,-1,-1,0.749,0.132407436,-0.256481524,1,0,0,1.3787,Diorite_rect,3,1.379,0,5,0,5,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,2,1,7,0.056481467,-0.001851859,1,0,0,0.7649,rock_grid_rect_2,2,05,-1,-1,0.765,0.330555527,-0.233333376,1,0,0,1.6276,Gabbro_rect,4,1.628,0,6,0,6,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,2,1,8,0.008333347,-0.011111118,1,0,0,0.7327,rock_grid_rect_2,1,02,-1,-1,0.733,0.107407393,-0.252777806,1,0,0,1.0781,Diorite_rect,3,1.078,0,7,0,7,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,2,1,9,0.068518533,-0.022222236,1,0,0,0.7158,rock_grid_rect_2,7,12,-1,-1,0.716,0.080555598,-0.257407436,1,0,0,1.3955,Diorite_rect,3,1.395,0,8,0,8,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,2,1,10,0.025000042,0,1,0,0,1.116,rock_grid_rect_2,4,14,-1,-1,1.116,-0.182407379,-0.235185199,1,0,0,1.7949,Basalt_rect,2,1.795,0,9,0,9,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,2,1,11,0.01944443,-0.009259259,1,0,0,0.748,rock_grid_rect_2,2,09,-1,-1,0.748,-0.302777785,-0.265740783,1,0,0,1.6951,Andesite_rect,1,1.695,0,10,0,10,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,2,1,12,-0.011111083,0.011111118,1,0,0,0.8826,rock_grid_rect_2,5,10,-1,-1,0.883,-0.40370369,-0.39444443,1,0,0,1.2286,Obsidian_rect,5,1.229,1,11,0,11,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,2,1,13,0.013888889,0.000925912,1,0,0,0.9827,rock_grid_rect_2,7,07,-1,-1,0.983,0.175000014,-0.234259288,1,0,0,1.1615,Diorite_rect,3,1.161,0,12,0,12,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,2,1,14,0.029629672,-0.017592607,1,0,0,0.7148,rock_grid_rect_2,7,16,-1,-1,0.715,0.147222236,-0.409259302,1,0,0,1.9965,Peridotite_rect,7,1.997,1,13,0,13,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,2,1,15,-0.036111125,0.021296289,1,0,0,0.7486,rock_grid_rect_2,4,11,-1,-1,0.749,0.341666751,-0.242592635,1,0,0,1.3111,Gabbro_rect,4,1.311,1,14,0,14,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,2,1,16,0.044444473,0.015740748,1,0,0,0.8819,rock_grid_rect_2,1,01,-1,-1,0.882,0.062037079,-0.243518547,1,0,0,1.2454,Diorite_rect,3,1.245,0,15,0,15,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,2,2,1,,,,,,,,1,16,,,,,,,,,,,1,4.096,1,,,,,,-0.353703711,-0.259259259,1,0,0,4.0955,Andesite_rect,0,0,0,0,1,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,2,2,2,,,,,,,,7,04,,,,,,,,,,,1,3.173,0,,,,,,-0.361111111,-0.229629658,1,0,0,3.1734,Andesite_rect,1,0,1,0,1,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,2,2,3,,,,,,,,3,12,,,,,,,,,,,3,0.827,1,,,,,,0.20185188,-0.252777806,1,0,0,0.8269,Diorite_rect,2,0,2,0,1,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,2,2,4,,,,,,,,5,06,,,,,,,,,,,5,2.195,1,,,,,,-0.349074081,-0.384259259,1,0,0,2.1945,Obsidian_rect,3,0,3,0,1,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,2,2,5,,,,,,,,2,08,,,,,,,,,,,2,1.695,1,,,,,,-0.140740712,-0.243518547,1,0,0,1.6946,Basalt_rect,4,0,4,0,1,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,2,2,6,,,,,,,,4,05,,,,,,,,,,,4,2.19,1,,,,,,0.399074131,-0.258333347,1,0,0,2.1898,Gabbro_rect,5,0,5,0,1,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,2,2,7,,,,,,,,4,12,,,,,,,,,,,4,0.878,1,,,,,,0.336111139,-0.268518519,1,0,0,0.8777,Gabbro_rect,6,0,6,0,1,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,2,2,8,,,,,,,,5,16,,,,,,,,,,,5,1.161,1,,,,,,-0.388888889,-0.382407436,1,0,0,1.1613,Obsidian_rect,7,0,7,0,1,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,2,2,9,,,,,,,,3,07,,,,,,,,,,,3,1.745,1,,,,,,0.116666653,-0.259259259,1,0,0,1.7454,Diorite_rect,8,0,8,0,1,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,2,2,10,,,,,,,,6,06,,,,,,,,,,,6,1.739,1,,,,,,-0.135185171,-0.418518561,1,0,0,1.739,Pegmatite_rect,9,0,9,0,1,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,2,2,11,,,,,,,,2,04,,,,,,,,,,,4,4.329,0,,,,,,0.400925954,-0.262037065,1,0,0,4.3286,Gabbro_rect,10,0,10,0,1,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,2,2,12,,,,,,,,1,07,,,,,,,,,,,3,1.273,0,,,,,,0.125925912,-0.258333347,1,0,0,1.2726,Diorite_rect,11,0,11,0,1,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,2,2,13,,,,,,,,6,07,,,,,,,,,,,7,1.428,0,,,,,,0.102777764,-0.391666695,1,0,0,1.4278,Peridotite_rect,12,0,12,0,1,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,2,2,14,,,,,,,,8,03,,,,,,,,,,,8,1.395,1,,,,,,0.373148176,-0.404629672,1,0,0,1.395,Pumice_rect,13,0,13,0,1,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,2,2,15,,,,,,,,7,06,,,,,,,,,,,1,2.095,0,,,,,,-0.314814815,-0.242592635,1,0,0,2.0951,Andesite_rect,14,0,14,0,1,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,2,2,16,,,,,,,,8,10,,,,,,,,,,,8,1.211,1,,,,,,0.338888945,-0.382407436,1,0,0,1.211,Pumice_rect,15,0,15,0,1,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,3,1,1,-0.001851824,0.010185171,1,0,0,0.9992,rock_grid_rect_2,2,05,-1,-1,0.999,-0.108333305,-0.270370413,1,0,0,2.3804,Basalt_rect,2,2.38,1,0,0,0,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,3,1,2,-0.000925912,0.0074074,1,0,0,1.0829,rock_grid_rect_2,1,11,-1,-1,1.083,0.070370356,-0.416666667,1,0,0,1.478,Peridotite_rect,7,1.478,0,1,0,1,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,3,1,3,0.026851866,-0.00462963,1,0,0,1.0322,rock_grid_rect_2,3,02,-1,-1,1.032,0.094444487,-0.233333376,1,0,0,0.9114,Diorite_rect,3,0.911,1,2,0,2,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,3,1,4,0.029629672,0.000925912,1,0,0,0.8319,rock_grid_rect_2,5,05,-1,-1,0.832,-0.335185192,-0.247222265,1,0,0,1.8117,Andesite_rect,1,1.812,0,3,0,3,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,3,1,5,0.015740783,0.00462963,1,0,0,1.4487,rock_grid_rect_2,1,14,-1,-1,1.449,0.078703704,-0.409259302,1,0,0,1.8622,Peridotite_rect,7,1.862,0,4,0,4,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,3,1,6,-0.042592578,-0.015740748,1,0,0,0.9492,rock_grid_rect_2,7,07,-1,-1,0.949,0.075925968,-0.242592635,1,0,0,1.0614,Diorite_rect,3,1.061,0,5,0,5,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,3,1,7,0.031481496,-0.015740748,1,0,0,0.8657,rock_grid_rect_2,6,12,-1,-1,0.866,-0.09629631,-0.238888917,1,0,0,1.7286,Basalt_rect,2,1.729,0,6,0,6,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,3,1,8,0.05740745,0.010185171,1,0,0,0.8649,rock_grid_rect_2,4,13,-1,-1,0.865,-0.074999986,-0.419444473,1,0,0,1.5457,Pegmatite_rect,6,1.546,0,7,0,7,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,3,1,9,0.051851838,-0.0074074,1,0,0,0.5983,rock_grid_rect_2,7,08,-1,-1,0.598,0.138888889,-0.415740755,1,0,0,3.1795,Peridotite_rect,7,3.179,1,8,0,8,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,3,1,10,0.010185171,-0.001851859,1,0,0,0.8652,rock_grid_rect_2,6,05,-1,-1,0.865,-0.392592571,-0.398148148,1,0,0,1.579,Obsidian_rect,5,1.579,0,9,0,9,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,3,1,11,-0.016666624,0.018518519,1,0,0,1.0817,rock_grid_rect_2,6,05,-1,-1,1.082,-0.171296296,-0.414814843,1,0,0,0.9956,Pegmatite_rect,6,0.996,1,10,0,10,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,3,1,12,0.112037023,0.011111118,1,0,0,0.966,rock_grid_rect_2,7,16,-1,-1,0.966,-0.212962963,-0.258333347,1,0,0,1.3613,Basalt_rect,2,1.361,0,11,0,11,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,3,1,13,-0.031481496,-0.017592607,1,0,0,0.9816,rock_grid_rect_2,2,05,-1,-1,0.982,-0.080555527,-0.25,1,0,0,0.995,Basalt_rect,2,0.995,1,12,0,12,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,3,1,14,-0.001851824,0.006481489,1,0,0,0.9152,rock_grid_rect_2,7,16,-1,-1,0.915,0.174074102,-0.259259259,1,0,0,1.0456,Diorite_rect,3,1.046,0,13,0,13,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,3,1,15,0.026851866,0.021296289,1,0,0,0.6158,rock_grid_rect_2,1,10,-1,-1,0.616,0.352777834,-0.271296325,1,0,0,2.1289,Gabbro_rect,4,2.129,0,14,0,14,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,3,1,16,-0.024999972,0,1,0,0,0.8811,rock_grid_rect_2,3,11,-1,-1,0.881,0.193518533,-0.242592635,1,0,0,1.1288,Diorite_rect,3,1.129,1,15,0,15,0,1,,,,,,,,,,,,,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,3,2,1,,,,,,,,7,15,,,,,,,,,,,3,1.461,0,,,,,,0.135185171,-0.249074088,1,0,0,1.461,Diorite_rect,0,0,0,0,1,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,3,2,2,,,,,,,,2,06,,,,,,,,,,,2,2.178,1,,,,,,-0.16851849,-0.251851894,1,0,0,2.1784,Basalt_rect,1,0,1,0,1,
59048309c4ef1300011b1085,TCR,2024-06-24_13h46.49.317,LearnStrategy,2023.2.3,Win32,59.17159763,3,2,3,,,,,,,,7,10,,,,,,,,,,,1,1.494,0,,,,,,-0.365740741,-0.247222265,1,0,0,1.4943,Andesite_rect,2,0,2,0,1,
